poNo,poDate,etaDate,vendor,recDate,status,cutPo,user1,user2,user3,user4,user5,user6,startDate,cancelDate,shipDate,division,shipVia,orderNo,customer,custName,customerPo,parentPoNo,season,grp,category,compType,style,color,podStatus,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,totalUnit,price,extPrice,uom,warehouse,podEtaDate,cancelReason,cancelReasonDate,cost,extCost,recQty,balQty,soType,unit1,unit2,unit3,unit4,unit5,unit6,unit7,unit8,unit9,unit10,unit11,unit12,unit13,unit14,unit15
32,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,15,ANTHROPOLOGIE,ANTHROPOLOGIE,6764700,0,SS26,26-Jun,DRESSES,Style,CD1032PL,BLACK WHITE,Open,1X,2X,3X,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,11,19,209,,STANFORD,5/18/2026,,,19,209,0,11,NEW,1X / 4,2X / 4,3X / 3,,,,,,,,,,,,
33,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,15,ANTHROPOLOGIE,ANTHROPOLOGIE,6764700,0,SS26,26-Jun,DRESSES,Style,CD1032PT,BLACK WHITE,Open,XS PT,S PT,M PT,L PT,XL PT,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,4,5,4,3,2,0,0,0,0,0,0,0,0,0,0,18,19,342,,STANFORD,5/18/2026,,,19,342,0,18,NEW,XS PT / 4,S PT / 5,M PT / 4,L PT / 3,XL PT / 2,,,,,,,,,,
34,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,16,ANTHROPOLOGIE,ANTHROPOLOGIE,6764632,0,SS26,26-Jun,PANTS,Style,CP1026,BROWN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,13,21,21,13,7,0,0,0,0,0,0,0,0,0,0,75,12,900,,STANFORD,5/18/2026,,,12,900,0,75,NEW,XS / 13,S / 21,M / 21,L / 13,XL / 7,,,,,,,,,,
35,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,17,ANTHROPOLOGIE,ANTHROPOLOGIE,6764701,0,SS26,26-Jun,DRESSES,Style,CD1032PL,BLACK WHITE,Open,1X,2X,3X,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,17,19,323,,STANFORD,5/18/2026,,,19,323,0,17,NEW,1X / 8,2X / 6,3X / 3,,,,,,,,,,,,
36,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,17,ANTHROPOLOGIE,ANTHROPOLOGIE,6764701,0,SS26,26-Jun,DRESSES,Style,CD1032PT,BLACK WHITE,Open,XS PT,S PT,M PT,L PT,XL PT,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,7,7,6,3,1,0,0,0,0,0,0,0,0,0,0,24,19,456,,STANFORD,5/18/2026,,,19,456,0,24,NEW,XS PT / 7,S PT / 7,M PT / 6,L PT / 3,XL PT / 1,,,,,,,,,,
37,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,18,ANTHROPOLOGIE,ANTHROPOLOGIE,6764702,0,SS26,26-Jun,DRESSES,Style,CD1032PL,BLACK WHITE,Open,1X,2X,3X,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,23,19,10,0,0,0,0,0,0,0,0,0,0,0,0,52,19,988,,STANFORD,5/18/2026,,,19,988,0,52,NEW,1X / 23,2X / 19,3X / 10,,,,,,,,,,,,
38,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,18,ANTHROPOLOGIE,ANTHROPOLOGIE,6764702,0,SS26,26-Jun,DRESSES,Style,CD1032PT,BLACK WHITE,Open,XS PT,S PT,M PT,L PT,XL PT,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,20,24,18,12,4,0,0,0,0,0,0,0,0,0,0,78,19,1482,,STANFORD,5/18/2026,,,19,1482,0,78,NEW,XS PT / 20,S PT / 24,M PT / 18,L PT / 12,XL PT / 4,,,,,,,,,,
39,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,19,ANTHROPOLOGIE,ANTHROPOLOGIE,6764718,0,SS26,26-May,DRESSES,Style,CD1009PT,CREAM,Open,XS PT,S PT,M PT,L PT,XL PT,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,15,18,15,8,4,0,0,0,0,0,0,0,0,0,0,60,21.5,1290,,STANFORD,5/18/2026,,,0,0,0,60,NEW,XS PT / 15,S PT / 18,M PT / 15,L PT / 8,XL PT / 4,,,,,,,,,,
40,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,20,ANTHROPOLOGIE,ANTHROPOLOGIE,6764825,0,SS26,26-Jun,DRESSES,Style,CD1058PL,BROWN,Open,1X,2X,3X,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,12,16.5,198,,STANFORD,5/18/2026,,,16.5,198,0,12,NEW,1X / 5,2X / 4,3X / 3,,,,,,,,,,,,
41,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,20,ANTHROPOLOGIE,ANTHROPOLOGIE,6764825,0,SS26,26-Jun,DRESSES,Style,CD1058PT,BROWN,Open,XS PT,S PT,M PT,L PT,XL PT,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,4,5,4,2,2,0,0,0,0,0,0,0,0,0,0,17,16.5,280.5,,STANFORD,5/18/2026,,,16.5,280.5,0,17,NEW,XS PT / 4,S PT / 5,M PT / 4,L PT / 2,XL PT / 2,,,,,,,,,,
42,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,21,ANTHROPOLOGIE,ANTHROPOLOGIE,6764826,0,SS26,26-Jun,DRESSES,Style,CD1058PL,BROWN,Open,1X,2X,3X,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,18,16.5,297,,STANFORD,5/18/2026,,,16.5,297,0,18,NEW,1X / 8,2X / 7,3X / 3,,,,,,,,,,,,
43,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,21,ANTHROPOLOGIE,ANTHROPOLOGIE,6764826,0,SS26,26-Jun,DRESSES,Style,CD1058PT,BROWN,Open,XS PT,S PT,M PT,L PT,XL PT,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,6,7,6,3,1,0,0,0,0,0,0,0,0,0,0,23,16.5,379.5,,STANFORD,5/18/2026,,,16.5,379.5,0,23,NEW,XS PT / 6,S PT / 7,M PT / 6,L PT / 3,XL PT / 1,,,,,,,,,,
44,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,22,ANTHROPOLOGIE,ANTHROPOLOGIE,6764827,0,SS26,26-Jun,DRESSES,Style,CD1058PL,BROWN,Open,1X,2X,3X,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,13,11,6,0,0,0,0,0,0,0,0,0,0,0,0,30,16.5,495,,STANFORD,5/18/2026,,,16.5,495,0,30,NEW,1X / 13,2X / 11,3X / 6,,,,,,,,,,,,
