poNo,poDate,etaDate,vendor,recDate,status,cutPo,user1,user2,user3,user4,user5,user6,startDate,cancelDate,shipDate,division,shipVia,orderNo,customer,custName,customerPo,parentPoNo,season,grp,category,compType,style,color,podStatus,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,totalUnit,price,extPrice,uom,warehouse,podEtaDate,cancelReason,cancelReasonDate,cost,extCost,recQty,balQty,soType,unit1,unit2,unit3,unit4,unit5,unit6,unit7,unit8,unit9,unit10,unit11,unit12,unit13,unit14,unit15
418,3/23/2026,,STENUE,1/1/1900,Closed,PO,P1606,,,,,,5/28/2026,6/23/2026,,ELEVATOR DISCO,,0,                    ,                                                  ,                    ,0,SS26,26-Jun,TOPS,Style,CT1009,CREAM,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,17,34,34,17,0,0,0,0,0,0,0,0,0,0,0,102,8,816,                    ,STANFORD,5/29/2026,NO PRODUCTION,5/1/2026,8,816,0,102,                    ,XS / 17,S / 34,M / 34,L / 17,XL / 0,,,,,,,,,,
419,3/23/2026,,STENUE,1/1/1900,Closed,PO,P1605,,,,,,5/28/2026,6/23/2026,,ELEVATOR DISCO,,0,                    ,                                                  ,                    ,0,SS26,26-Jun,TOPS,Style,CT1017,PINK,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,17,34,34,17,0,0,0,0,0,0,0,0,0,0,0,102,0,0,                    ,STANFORD,,NO PRODUCTION,5/1/2026,0,0,0,102,                    ,XS / 17,S / 34,M / 34,L / 17,XL / 0,,,,,,,,,,
420,3/23/2026,,STENUE,1/1/1900,Open,PO,P1611,,,,,,5/28/2026,6/23/2026,,ELEVATOR DISCO,,0,                    ,                                                  ,                    ,0,SS26,26-Jun,TOPS,Style,CT1043,BLACK WHITE,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,17,34,34,17,0,0,0,0,0,0,0,0,0,0,0,102,7.3,744.6,                    ,STANFORD,,,,9.8,999.6,0,102,                    ,XS / 17,S / 34,M / 34,L / 17,XL / 0,,,,,,,,,,
422,1/9/2026,,STENUE,1/1/1900,Open,PO,P1474,,,,,,5/1/2026,6/23/2026,,ELEVATOR DISCO,,0,                    ,                                                  ,                    ,0,SS26,26-Jun,TOPS,Style,CT1045,BROWN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,9,18,18,9,0,0,0,0,0,0,0,0,0,0,0,54,11.8,637.2,                    ,STANFORD,,,,11.8,637.2,0,54,                    ,XS / 9,S / 18,M / 18,L / 9,XL / 0,,,,,,,,,,
423,1/2/2026,,STENUE,1/1/1900,Open,PO,P1410,,,,,,5/28/2026,6/23/2026,,ELEVATOR DISCO,,0,                    ,                                                  ,                    ,0,SS26,26-Jun,TOPS,Style,CT1050,LIGHT BLUE,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,17,34,34,17,0,0,0,0,0,0,0,0,0,0,0,102,0,0,                    ,STANFORD,,,,0,0,0,102,                    ,XS / 17,S / 34,M / 34,L / 17,XL / 0,,,,,,,,,,
424,3/23/2026,,STENUE,1/1/1900,Open,PO,P1609,,,,,,5/28/2026,6/23/2026,,ELEVATOR DISCO,,0,                    ,                                                  ,                    ,0,SS26,26-Jun,TOPS,Style,CT1059,PINK MULTI,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,17,34,34,17,0,0,0,0,0,0,0,0,0,0,0,102,15.6,1591.2,                    ,STANFORD,,,,15.6,1591.2,0,102,                    ,XS / 17,S / 34,M / 34,L / 17,XL / 0,,,,,,,,,,
425,3/23/2026,,STENUE,1/1/1900,Open,PO,P1603,,,,,,5/28/2026,6/23/2026,,ELEVATOR DISCO,MATSON,0,                    ,                                                  ,                    ,0,SS26,26-Jun,TOPS,Style,ET2748,MINT,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,17,34,34,17,0,0,0,0,0,0,0,0,0,0,0,102,10.8,1101.6,                    ,STANFORD,,NO PRODUCTION,5/1/2026,10.8,1101.6,0,102,                    ,XS / 17,S / 34,M / 34,L / 17,XL / 0,,,,,,,,,,
426,1/6/2026,,STENUE,1/1/1900,Open,PO,P1417,,,,,,6/2/2026,6/23/2026,,ELEVATOR DISCO,,0,                    ,                                                  ,                    ,0,SS26,26-Jun,DRESSES,Style,CD1024,BLACK,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,12,24,24,12,0,0,0,0,0,0,0,0,0,0,0,72,0,0,                    ,STANFORD,,,,15.6,1123.2,0,72,                    ,XS / 12,S / 24,M / 24,L / 12,XL / 0,,,,,,,,,,
427,1/6/2026,,STENUE,5/6/2026,Closed,PO,P1413,,,,,,6/2/2026,6/23/2026,,ELEVATOR DISCO,,0,                    ,                                                  ,                    ,0,SS26,26-Jun,DRESSES,Style,CD1011,SAGE GREEN,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,18,36,36,18,0,0,0,0,0,0,0,0,0,0,0,108,15.6,1684.8,                    ,STANFORD,,,,15.6,1684.8,11,97,                    ,XS / 18,S / 36,M / 36,L / 18,XL / 0,,,,,,,,,,
428,1/6/2026,,STENUE,1/1/1900,Open,PO,P1414,,,,,,6/2/2026,6/23/2026,,ELEVATOR DISCO,,0,                    ,                                                  ,                    ,0,SS26,26-Jun,DRESSES,Style,CD1020,PINK CREAM,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,10,20,20,10,0,0,0,0,0,0,0,0,0,0,0,60,14.6,876,                    ,STANFORD,,,,14.6,876,0,60,                    ,XS / 10,S / 20,M / 20,L / 10,XL / 0,,,,,,,,,,
429,1/7/2026,,STENUE,1/1/1900,Open,PO,P1418,,,,,,6/2/2026,6/23/2026,,ELEVATOR DISCO,,0,                    ,                                                  ,                    ,0,SS26,26-Jun,DRESSES,Style,CD1025,BLACK,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,5,10,10,5,0,0,0,0,0,0,0,0,0,0,0,30,14.2,426,                    ,STANFORD,,,,13.7,411,0,30,                    ,XS / 5,S / 10,M / 10,L / 5,XL / 0,,,,,,,,,,
430,1/13/2026,,STENUE,1/1/1900,Open,PO,P1481,,,,,,5/8/2026,6/23/2026,,ELEVATOR DISCO,,0,                    ,                                                  ,                    ,0,SS26,26-Jun,DRESSES,Style,CD1034,CREAM,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,11,22,22,11,0,0,0,0,0,0,0,0,0,0,0,66,0,0,                    ,STANFORD,5/29/2026,,,0,0,0,66,                    ,XS / 11,S / 22,M / 22,L / 11,XL / 0,,,,,,,,,,
431,1/13/2026,,STENUE,1/1/1900,Open,PO,P1261,,,,,,6/2/2026,6/23/2026,,ELEVATOR DISCO,,0,                    ,                                                  ,                    ,0,SS26,26-Jun,PANTS,Style,CP1026,BROWN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,8,16,16,8,0,0,0,0,0,0,0,0,0,0,0,48,12,576,                    ,STANFORD,,,,12,576,0,48,                    ,XS / 8,S / 16,M / 16,L / 8,XL / 0,,,,,,,,,,
432,1/13/2026,,STENUE,1/1/1900,Open,PO,P1338,,,,,,6/2/2026,6/23/2026,,ELEVATOR DISCO,,0,                    ,                                                  ,                    ,0,SS26,26-Jun,SKIRTS,Style,CS1016,SAGE GREEN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,17,34,34,17,0,0,0,0,0,0,0,0,0,0,0,102,11.2,1142.4,                    ,STANFORD,5/29/2026,,,11.2,1142.4,0,102,                    ,XS / 17,S / 34,M / 34,L / 17,XL / 0,,,,,,,,,,
433,1/9/2026,,STENUE,1/1/1900,Open,PO,P1463,,,,,,6/2/2026,6/23/2026,,ELEVATOR DISCO,MATSON,0,                    ,                                                  ,                    ,0,SS26,26-Jun,SKIRTS,Style,CS1027,SAGE GREEN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,12,24,24,12,0,0,0,0,0,0,0,0,0,0,0,72,19.5,1404,                    ,STANFORD,,,,19.5,1404,0,72,                    ,XS / 12,S / 24,M / 24,L / 12,XL / 0,,,,,,,,,,
434,5/1/2026,,STENUE,1/1/1900,Open,PO,P1489,,,,,,6/2/2026,6/23/2026,,ELEVATOR DISCO,MATSON,0,                    ,                                                  ,                    ,0,SS26,26-Jun,TOPS,Style,FRT2184B12,SAGE GREEN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,11,22,22,11,0,0,0,0,0,0,0,0,0,0,0,66,13,858,                    ,STANFORD,,,,0,0,0,66,                    ,XS / 11,S / 22,M / 22,L / 11,XL / 0,,,,,,,,,,
435,1/13/2026,,STENUE,1/1/1900,Open,PO,P1487,,,,,,6/2/2026,6/23/2026,,ELEVATOR DISCO,,0,                    ,                                                  ,                    ,0,SS26,26-Jun,TOPS,Style,CT1012,SAGE GREEN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,17,34,34,17,0,0,0,0,0,0,0,0,0,0,0,102,10.6,1081.2,                    ,STANFORD,,,,10.2,1040.4,0,102,                    ,XS / 17,S / 34,M / 34,L / 17,XL / 0,,,,,,,,,,
436,1/13/2026,,STENUE,1/1/1900,Open,PO,P1488,,,,,,6/2/2026,6/23/2026,,ELEVATOR DISCO,,0,                    ,                                                  ,                    ,0,SS26,26-Jun,DRESSES,Style,FRD1787,WHITE,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,11,22,22,11,0,0,0,0,0,0,0,0,0,0,0,66,0,0,                    ,STANFORD,,,,0,0,0,66,                    ,XS / 11,S / 22,M / 22,L / 11,XL / 0,,,,,,,,,,
437,1/13/2026,,STENUE,1/1/1900,Open,PO,P1491,,,,,,6/2/2026,6/23/2026,,ELEVATOR DISCO,MATSON,0,                    ,                                                  ,                    ,0,SS26,26-Jun,TOPS,Style,SET8341A,BROWN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,6,12,12,6,0,0,0,0,0,0,0,0,0,0,0,36,14,504,                    ,STANFORD,5/29/2026,,,0,0,0,36,                    ,XS / 6,S / 12,M / 12,L / 6,XL / 0,,,,,,,,,,
438,1/13/2026,,STENUE,1/1/1900,Open,PO,P1492,,,,,,5/28/2026,6/23/2026,,ELEVATOR DISCO,MATSON,0,                    ,                                                  ,                    ,0,SS26,26-Jun,PANTS,Style,SET8341B,BROWN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,10,20,20,10,0,0,0,0,0,0,0,0,0,0,0,60,13.8,828,                    ,STANFORD,,,,0,0,0,60,                    ,XS / 10,S / 20,M / 20,L / 10,XL / 0,,,,,,,,,,
439,1/8/2026,,STENUE,1/1/1900,Open,PO,P1433,,,,,,5/28/2026,6/23/2026,,ELEVATOR DISCO,,0,                    ,                                                  ,                    ,0,SS26,26-Jun,SHORTS,Style,CP1005,MINT,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,17,34,34,17,0,0,0,0,0,0,0,0,0,0,0,102,10.5,1071,                    ,STANFORD,5/29/2026,NO PRODUCTION,5/1/2026,10.5,1071,0,102,                    ,XS / 17,S / 34,M / 34,L / 17,XL / 0,,,,,,,,,,
440,1/13/2026,,STENUE,1/1/1900,Open,PO,P1485,,,,,,4/30/2026,6/23/2026,,ELEVATOR DISCO,,0,                    ,                                                  ,                    ,0,SS26,26-Jun,DRESSES,Style,CD1059,BROWN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,4,8,8,4,0,0,0,0,0,0,0,0,0,0,0,24,12,288,                    ,STANFORD,,,,12,288,0,24,                    ,XS / 4,S / 8,M / 8,L / 4,XL / 0,,,,,,,,,,
441,5/4/2026,,INLOOK,1/1/1900,Open,PO,,,,,,,7/9/2026,7/30/2026,,ELEVATOR DISCO,                    ,1675,LULUS,LULU'S FASHION LOUNGE,226091,0,                    ,                    ,DRESSES,Style,EDD1227,BLACK,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,12,48,118,108,66,37,11,0,0,0,0,0,0,0,0,400,11.95,4780,,STANFORD,7/9/2026,,,11.95,4780,0,400,NEW,XXS / 12,XS / 48,S / 118,M / 108,L / 66,XL / 37,XXL / 11,,,,,,,,
442,5/4/2026,,GF,1/1/1900,Open,PO,,,,,,,7/30/2026,8/21/2026,,ELEVATOR DISCO,                    ,1676,LULUS,LULU'S FASHION LOUNGE,226092,0,                    ,LULUS,                    ,Style,FRD1947,BLACK,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,7,61,147,125,70,36,4,0,0,0,0,0,0,0,0,450,12.5,5625,,STANFORD,6/30/2026,,,12.5,5625,0,450,NEW,XXS / 7,XS / 61,S / 147,M / 125,L / 70,XL / 36,XXL / 4,,,,,,,,
445,5/7/2026,,STENUE,1/1/1900,Open,PO,,,,,,,7/24/2026,8/14/2026,,ELEVATOR DISCO,                    ,0,                    ,                                                  ,                    ,0,                    ,LULUS,                    ,Style,FRD2204,NAVY,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,0,22,74,94,64,46,0,0,0,0,0,0,0,0,0,300,13.2,3960,,STANFORD,,,,13.2,3960,0,300,                    ,XXS / 0,XS / 22,S / 74,M / 94,L / 64,XL / 46,XXL / 0,,,,,,,,
446,5/8/2026,6/5/2026,STENUE,5/8/2026,Closed,PO,,,,,,,5/8/2026,6/5/2026,5/8/2026,ELEVATOR DISCO,                    ,1684,12TH TRIBE,12TH TRIBE,10453,0,                    ,12TH TRIBE,                    ,Style,EDX2787AV,MULTI,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,7,111,92,6,6,0,0,0,0,0,0,0,0,0,0,222,0,0,,STANFORD,6/5/2026,,,0,0,222,0,NEW,XS / 7,S / 111,M / 92,L / 6,XL / 6,,,,,,,,,,
447,5/8/2026,6/5/2026,STENUE,5/8/2026,Closed,PO,,,,,,,5/8/2026,6/5/2026,5/8/2026,ELEVATOR DISCO,                    ,1682,12TH TRIBE,12TH TRIBE,10404,0,                    ,12TH TRIBE,                    ,Style,ES3479A,CHAMPAGNE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,47,83,83,5,5,0,0,0,0,0,0,0,0,0,0,223,11.5,2564.5,,STANFORD,6/5/2026,,,11.5,2564.5,223,0,NEW,XS / 47,S / 83,M / 83,L / 5,XL / 5,,,,,,,,,,
448,5/8/2026,,DONGJING,1/1/1900,Open,PO,,,,,,,7/30/2026,8/21/2026,,ELEVATOR DISCO,,0,                    ,                                                  ,                    ,0,FW26,26-Aug,SKIRTS,Style,EVB3043,LIGHT BROWN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,26,35,26,15,0,0,0,0,0,0,0,0,0,0,0,102,7.7,785.4,,STANFORD,,,,0,0,0,102,                    ,XS / 26,S / 35,M / 26,L / 15,XL / 0,,,,,,,,,,
449,5/8/2026,,INLOOK,5/27/2026,Closed,PO,P1490,,,,,,5/8/2026,5/30/2026,,ELEVATOR DISCO,,0,                    ,                                                  ,                    ,0,SS26,26-May,SHORTS,Style,FRP3047,WHITE BLACK,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,9,18,18,9,0,0,0,0,0,0,0,0,0,0,0,54,10.75,580.5,                    ,STANFORD,,,,10.75,580.5,54,0,                    ,XS / 9,S / 18,M / 18,L / 9,XL / 0,,,,,,,,,,
450,5/11/2026,,STENUE,1/1/1900,Open,PO,,,,,,,6/18/2026,7/14/2026,,ELEVATOR DISCO,                    ,0,                    ,                                                  ,                    ,0,                    ,LULUS,                    ,Style,FSET8043A,CHAMPAGNE,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,3,27,61,65,30,13,1,0,0,0,0,0,0,0,0,200,13.2,2640,,STANFORD,,,,13.2,2640,0,200,                    ,XXS / 3,XS / 27,S / 61,M / 65,L / 30,XL / 13,XXL / 1,,,,,,,,
451,5/11/2026,,STENUE,1/1/1900,Open,PO,,,,,,,6/18/2026,7/10/2026,,ELEVATOR DISCO,                    ,0,                    ,                                                  ,                    ,0,                    ,LULUS,                    ,Style,FRD2390,IVORY GOLD,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,20,37,89,76,58,45,20,0,0,0,0,0,0,0,0,345,16.3,5623.5,,STANFORD,,,,0,0,0,345,                    ,XXS / 20,XS / 37,S / 89,M / 76,L / 58,XL / 45,XXL / 20,,,,,,,,
452,5/13/2026,,STENUE,1/1/1900,Open,PO,,,,,,,6/18/2026,6/18/2026,,ELEVATOR DISCO,AIR,1702,12TH TRIBE,12TH TRIBE,10819,0,                    ,12TH TRIBE,                    ,Style,EDX2787AV,BROWN MULTI,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,60,30,30,50,30,0,0,0,0,0,0,0,0,0,0,200,11,2200,                    ,STANFORD,6/11/2026,,,11,2200,0,200,RE-ORDER,XS / 60,S / 30,M / 30,L / 50,XL / 30,,,,,,,,,,
455,5/14/2026,,STENUE,1/1/1900,Open,PO,,,,,,,7/16/2026,8/6/2026,,ELEVATOR DISCO,MATSON,1705,LULUS,LULU'S FASHION LOUNGE,226994,0,                    ,LULUS,                    ,Style,FRP3152,SAGE,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,0,38,100,100,40,22,0,0,0,0,0,0,0,0,0,300,6.5,1950,,FORERUNNER,,,,0,0,0,300,PRIVATE LABEL,XXS / 0,XS / 38,S / 100,M / 100,L / 40,XL / 22,XXL / 0,,,,,,,,
456,5/14/2026,,STENUE,1/1/1900,Open,PO,,,,,,,7/16/2026,8/6/2026,,ELEVATOR DISCO,MATSON,1706,LULUS,LULU'S FASHION LOUNGE,226992,0,                    ,LULUS,                    ,Style,FRP3152,MAROON,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,0,38,100,100,40,22,0,0,0,0,0,0,0,0,0,300,6.5,1950,,FORERUNNER,6/11/2026,,,0,0,0,300,PRIVATE LABEL,XXS / 0,XS / 38,S / 100,M / 100,L / 40,XL / 22,XXL / 0,,,,,,,,
457,5/14/2026,,INLOOK,1/1/1900,Open,PO,,,,,,,8/27/2026,9/23/2026,,ELEVATOR DISCO,MATSON,0,                    ,                                                  ,                    ,0,FW26,26-Sep,TOPS,Style,EVT2029,BLACK,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,6,10,9,5,0,0,0,0,0,0,0,0,0,0,0,30,12.25,367.5,,FORERUNNER,,,,0,0,0,30,                    ,XS / 6,S / 10,M / 9,L / 5,XL / 0,,,,,,,,,,
458,5/14/2026,,INLOOK,1/1/1900,Open,PO,,,,,,,8/27/2026,9/23/2020,,ELEVATOR DISCO,MATSON,0,                    ,                                                  ,                    ,0,FW26,26-Sep,TOPS,Style,EVT2029,BLACK,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,7,14,14,7,0,0,0,0,0,0,0,0,0,0,0,42,12.25,514.5,,FORERUNNER,,,,0,0,0,42,                    ,XS / 7,S / 14,M / 14,L / 7,XL / 0,,,,,,,,,,
459,5/14/2026,,INLOOK,1/1/1900,Open,PO,,,,,,,8/27/2026,9/23/2026,,ELEVATOR DISCO,MATSON,0,                    ,                                                  ,                    ,0,FW26,26-Sep,SKIRTS,Style,EVB3053,BLACK,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,8,14,12,6,0,0,0,0,0,0,0,0,0,0,0,40,16.75,670,,FORERUNNER,,,,15,600,0,40,                    ,XS / 8,S / 14,M / 12,L / 6,XL / 0,,,,,,,,,,
460,5/14/2026,,INLOOK,1/1/1900,Open,PO,,,,,,,8/27/2026,9/23/2026,,ELEVATOR DISCO,MATSON,0,                    ,                                                  ,                    ,0,FW26,26-Sep,SKIRTS,Style,EVB3053,BLACK,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,17,34,34,17,0,0,0,0,0,0,0,0,0,0,0,102,16.75,1708.5,,FORERUNNER,,,,15,1530,0,102,                    ,XS / 17,S / 34,M / 34,L / 17,XL / 0,,,,,,,,,,
461,5/14/2026,,STENUE,1/1/1900,Open,PO,,,,,,,6/25/2026,7/23/2026,,ELEVATOR DISCO,MATSON,0,                    ,                                                  ,                    ,0,FW26,26-Jul,TOPS,Style,CT1061,GRAY,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,8,16,16,8,0,0,0,0,0,0,0,0,0,0,0,48,0,0,,FORERUNNER,,,,0,0,0,48,                    ,XS / 8,S / 16,M / 16,L / 8,XL / 0,,,,,,,,,,
462,5/14/2026,,DONGJING,1/1/1900,Open,PO,,,,,,,7/30/2026,8/21/2026,,ELEVATOR DISCO,MATSON,0,                    ,                                                  ,                    ,0,FW26,26-Aug,TOPS,Style,EVT2045,LIGHT BROWN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,35,50,42,20,0,0,0,0,0,0,0,0,0,0,0,147,13.5,1984.5,,FORERUNNER,,,,0,0,0,147,                    ,XS / 35,S / 50,M / 42,L / 20,XL / 0,,,,,,,,,,
463,5/14/2026,,STENUE,1/1/1900,Open,PO,,,,,,,7/30/2026,8/21/2026,,ELEVATOR DISCO,MATSON,0,                    ,                                                  ,                    ,0,FW26,26-Aug,DRESSES,Style,EVD1078,LIGHT BROWN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,8,14,12,6,0,0,0,0,0,0,0,0,0,0,0,40,17.6,704,,FORERUNNER,,,,0,0,0,40,                    ,XS / 8,S / 14,M / 12,L / 6,XL / 0,,,,,,,,,,
464,5/14/2026,,STENUE,1/1/1900,Open,PO,,,,,,,7/30/2026,8/21/2026,,ELEVATOR DISCO,MATSON,0,                    ,                                                  ,                    ,0,FW26,26-Jul,SWEATERS,Style,EVW5017,LIGHT BLUE,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,18,36,36,18,0,0,0,0,0,0,0,0,0,0,0,108,12.6,1360.8,,FORERUNNER,,,,0,0,0,108,                    ,XS / 18,S / 36,M / 36,L / 18,XL / 0,,,,,,,,,,
465,5/14/2026,,DONGJING,1/1/1900,Open,PO,,,,,,,7/30/2026,8/21/2026,,ELEVATOR DISCO,MATSON,0,                    ,                                                  ,                    ,0,FW26,26-Aug,TOPS,Style,EVT2045,LIGHT BROWN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,9,18,18,9,0,0,0,0,0,0,0,0,0,0,0,54,13.5,729,,FORERUNNER,,,,0,0,0,54,                    ,XS / 9,S / 18,M / 18,L / 9,XL / 0,,,,,,,,,,
466,5/14/2026,,STENUE,1/1/1900,Open,PO,,,,,,,7/30/2026,8/21/2026,,ELEVATOR DISCO,MATSON,0,                    ,                                                  ,                    ,0,FW26,26-Aug,DRESSES,Style,EVD1078,LIGHT BROWN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,5,10,10,5,0,0,0,0,0,0,0,0,0,0,0,30,17.6,528,,FORERUNNER,,,,0,0,0,30,                    ,XS / 5,S / 10,M / 10,L / 5,XL / 0,,,,,,,,,,
467,5/14/2026,,DONGJING,1/1/1900,Open,PO,,,,,,,7/30/2026,8/21/2026,,ELEVATOR DISCO,MATSON,0,                    ,                                                  ,                    ,0,FW26,26-Aug,SKIRTS,Style,EVB3043,LIGHT BROWN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,4,8,8,4,0,0,0,0,0,0,0,0,0,0,0,24,7.7,184.8,,FORERUNNER,,,,0,0,0,24,                    ,XS / 4,S / 8,M / 8,L / 4,XL / 0,,,,,,,,,,
468,5/15/2026,4/30/2026,STENUE,5/15/2026,Closed,PO,P1386,,,,,,5/15/2026,5/30/2026,5/15/2026,ELEVATOR DISCO,                    ,0,                    ,                                                  ,                    ,0,SS26,26-Jun,DRESSES,Style,CD1043,BLACK,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,13,18,13,6,0,0,0,0,0,0,0,0,0,0,0,50,13.8,690,,FORERUNNER,4/30/2026,,,13.8,690,64,-14,                    ,XS / 13,S / 18,M / 13,L / 6,XL / 0,,,,,,,,,,
469,5/15/2026,6/12/2026,STENUE,5/15/2026,Closed,PO,P1391,,,,,,5/15/2026,5/30/2026,5/15/2026,ELEVATOR DISCO,                    ,1626,BLOOMINGDALES,BLOOMINGDALES,6469139,0,SS26,26-Jun,DRESSES,Style,CD1043,BLACK,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,9,16,13,8,4,0,0,0,0,0,0,0,0,0,0,50,13.8,690,,STANFORD,6/12/2026,,,13.8,690,49,1,MAJOR,XS / 9,S / 16,M / 13,L / 8,XL / 4,,,,,,,,,,
471,5/15/2026,,STENUE,1/1/1900,Open,PO,,,,,,,7/30/2026,8/21/2026,,ELEVATOR DISCO,MATSON,0,                    ,                                                  ,                    ,0,FW26,26-Aug,TOPS,Style,EVT2014,PURPLE,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,17,34,34,17,0,0,0,0,0,0,0,0,0,0,0,102,23.05,2351.1,,FORERUNNER,,,,23.05,2351.1,0,102,                    ,XS / 17,S / 34,M / 34,L / 17,XL / 0,,,,,,,,,,
472,5/15/2026,,STENUE,1/1/1900,Open,PO,,,,,,,7/30/2026,8/21/2026,,ELEVATOR DISCO,MATSON,0,                    ,                                                  ,                    ,0,FW26,26-Aug,PANTS,Style,EVB3027,PURPLE,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,17,34,34,17,0,0,0,0,0,0,0,0,0,0,0,102,25.85,2636.7,,FORERUNNER,,,,25.85,2636.7,0,102,                    ,XS / 17,S / 34,M / 34,L / 17,XL / 0,,,,,,,,,,
473,5/15/2026,,STENUE,1/1/1900,Open,PO,,,,,,,7/23/2026,8/14/2026,,ELEVATOR DISCO,MATSON,0,                    ,                                                  ,                    ,0,FW26,26-Aug,OUTERWEAR,Style,FRJ6048V,WHITE,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,17,34,34,17,0,0,0,0,0,0,0,0,0,0,0,102,0,0,,FORERUNNER,,,,0,0,0,102,                    ,XS / 17,S / 34,M / 34,L / 17,XL / 0,,,,,,,,,,
